timestamp,call_id,session_id,parent_call_id,day_number,model,call_type,call_subtype,input_tokens,output_tokens,cache_read_tokens,total_tokens,total_cost_usd,latency_ms,status,error_message,decisions_count,watchlist_symbols,actions_summary,system_prompt_file,user_prompt_file,response_file
2026-04-27 09:22:05,20260427_092204_NEWS_SUMMARY_001,20260423_221008,,0,claude-haiku-4-5-20251001,NEWS_SUMMARY,,3662,70,0,3732,0.004012,1464,SUCCESS,,0,,,logs/llm/system/system_prompt_c474d8adfdd9.txt,logs/llm/prompts/20260427_092204_NEWS_SUMMARY_001.txt,logs/llm/responses/20260427_092204_NEWS_SUMMARY_001.json
2026-04-27 09:22:52,20260427_092212_MARKET_PULSE_001,20260423_221008,,0,claude-sonnet-4-6,MARKET_PULSE,,7302,2138,0,9440,0.072186,40088,SUCCESS,,0,"MAHABANK,PNBHOUSING,GOLDBEES,NESTLEIND,AUBANK,INDUSINDBK,SUNPHARMA,COALINDIA,HINDALCO,SAIL,NMDC,TATAPOWER,NAVINFLUOR,HSCL,ADANIENSOL,TORNTPOWER,PVRINOX,ABSLAMC,UTIAMC,ANANTRAJ,IPCALAB,GLENMARK,IDBI",,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_092212_MARKET_PULSE_001.txt,logs/llm/responses/20260427_092212_MARKET_PULSE_001.json
2026-04-27 09:29:17,20260427_092830_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,30453,3307,0,33760,0.277178,46479,SUCCESS,,8,,MODIFY MAHABANK; MODIFY PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; HOLD AUBANK; MODIFY GRANULES; HOLD HINDUNILVR; MODIFY NTPC,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_092830_TRADING_DECISION_001.txt,logs/llm/responses/20260427_092830_TRADING_DECISION_001.json
2026-04-27 09:30:28,20260427_092931_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,31118,4260,6758,35378,0.265469,57668,SUCCESS,,14,,MODIFY MAHABANK; MODIFY PNBHOUSING; MODIFY PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; EXIT AUBANK; MODIFY GRANULES; HOLD HINDUNILVR; MODIFY NTPC; NO_ACTION HSCL; NO_ACTION TORNTPOWER; NO_ACTION ADANIENSOL; NO_ACTION UTIAMC; NO_ACTION ABSLAMC,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_092931_TRADING_DECISION_001.txt,logs/llm/responses/20260427_092931_TRADING_DECISION_001.json
2026-04-27 09:31:34,20260427_093046_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,25475,3380,6758,28855,0.215254,48852,SUCCESS,,8,,MODIFY MAHABANK; MODIFY PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; HOLD AUBANK; MODIFY GRANULES; HOLD HINDUNILVR; MODIFY NTPC,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_093046_TRADING_DECISION_001.txt,logs/llm/responses/20260427_093046_TRADING_DECISION_001.json
2026-04-27 10:01:16,20260427_100114_NEWS_SUMMARY_001,20260423_221008,,0,claude-haiku-4-5-20251001,NEWS_SUMMARY,,3765,238,0,4003,0.004955,1941,SUCCESS,,0,,,logs/llm/system/system_prompt_c474d8adfdd9.txt,logs/llm/prompts/20260427_100114_NEWS_SUMMARY_001.txt,logs/llm/responses/20260427_100114_NEWS_SUMMARY_001.json
2026-04-27 10:02:04,20260427_100122_MARKET_PULSE_001,20260423_221008,,0,claude-sonnet-4-6,MARKET_PULSE,,11036,2342,0,13378,0.086448,42476,SUCCESS,,0,"MAHABANK,PNBHOUSING,GOLDBEES,NESTLEIND,GRANULES,SUNPHARMA,INDUSINDBK,TORNTPOWER,HINDZINC,SAIL,ANANTRAJ,ADANIENSOL,ALKEM,COALINDIA,IDFCFIRSTB,NMDC,HINDCOPPER,PVRINOX,UTIAMC,ABSLAMC,NTPC,TATAPOWER,PHARMABEES,IDBI,AUBANK",,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_100122_MARKET_PULSE_001.txt,logs/llm/responses/20260427_100122_MARKET_PULSE_001.json
2026-04-27 10:10:16,20260427_100935_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,34535,2706,0,37241,0.282562,41247,SUCCESS,,7,,HOLD MAHABANK; MODIFY PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; MODIFY GRANULES; HOLD HINDUNILVR; MODIFY NTPC,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_100935_TRADING_DECISION_001.txt,logs/llm/responses/20260427_100935_TRADING_DECISION_001.json
2026-04-27 10:11:35,20260427_101042_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,33412,3563,6758,36975,0.259514,52999,SUCCESS,,9,,MODIFY MAHABANK; MODIFY PNBHOUSING; HOLD PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; MODIFY GRANULES; HOLD HINDUNILVR; HOLD NTPC; BUY TATAPOWER,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_101042_TRADING_DECISION_001.txt,logs/llm/responses/20260427_101042_TRADING_DECISION_001.json
2026-04-27 10:12:40,20260427_101149_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,23556,3457,6758,27013,0.207584,51366,SUCCESS,,10,,HOLD MAHABANK; MODIFY PNBHOUSING; MODIFY NESTLEIND; MODIFY GRANULES; HOLD GOLDBEES; HOLD HINDUNILVR; MODIFY NTPC; NO_ACTION AUBANK; NO_ACTION IDBI; NO_ACTION PHARMABEES,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_101149_TRADING_DECISION_001.txt,logs/llm/responses/20260427_101149_TRADING_DECISION_001.json
2026-04-27 10:31:30,20260427_103128_NEWS_SUMMARY_001,20260423_221008,,0,claude-haiku-4-5-20251001,NEWS_SUMMARY,,3796,142,0,3938,0.004506,1578,SUCCESS,,0,,,logs/llm/system/system_prompt_c474d8adfdd9.txt,logs/llm/prompts/20260427_103128_NEWS_SUMMARY_001.txt,logs/llm/responses/20260427_103128_NEWS_SUMMARY_001.json
2026-04-27 10:32:24,20260427_103136_MARKET_PULSE_001,20260423_221008,,0,claude-sonnet-4-6,MARKET_PULSE,,9832,2545,0,12377,0.085881,47539,SUCCESS,,0,"MAHABANK,PNBHOUSING,GOLDBEES,NESTLEIND,GRANULES,SUNPHARMA,INDUSINDBK,TORNTPOWER,HINDZINC,ANANTRAJ,IDFCFIRSTB,ALKEM,UTIAMC,AXISBANK,NTPC,TATAPOWER,HINDCOPPER,SAIL,PHARMABEES,COALINDIA,ADANIPORTS,PVRINOX,HSCL,IDBI,JSWSTEEL",,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_103136_MARKET_PULSE_001.txt,logs/llm/responses/20260427_103136_MARKET_PULSE_001.json
2026-04-27 10:40:41,20260427_103941_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,36302,4255,0,40557,0.330122,60129,SUCCESS,,16,,HOLD MAHABANK; MODIFY PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; MODIFY GRANULES; HOLD HINDUNILVR; MODIFY NTPC; NO_ACTION TATAPOWER; BUY INDUSINDBK; BUY HINDZINC; NO_ACTION SUNPHARMA; NO_ACTION TORNTPOWER; NO_ACTION ANANTRAJ; NO_ACTION ALKEM; NO_ACTION UTIAMC; NO_ACTION IDFCFIRSTB,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_103941_TRADING_DECISION_001.txt,logs/llm/responses/20260427_103941_TRADING_DECISION_001.json
2026-04-27 10:41:36,20260427_104055_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,33991,2959,6758,36950,0.247309,40775,SUCCESS,,8,,MODIFY MAHABANK; MODIFY PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; MODIFY GRANULES; HOLD HINDUNILVR; MODIFY NTPC; NO_ACTION TATAPOWER,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_104055_TRADING_DECISION_001.txt,logs/llm/responses/20260427_104055_TRADING_DECISION_001.json
2026-04-27 10:42:35,20260427_104150_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,24174,3294,6758,27468,0.206599,45589,SUCCESS,,12,,MODIFY MAHABANK; HOLD MAHABANK; MODIFY PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; HOLD GRANULES; HOLD HINDUNILVR; MODIFY NTPC; NO_ACTION TATAPOWER; NO_ACTION JSWSTEEL; NO_ACTION HSCL; NO_ACTION IDBI,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_104150_TRADING_DECISION_001.txt,logs/llm/responses/20260427_104150_TRADING_DECISION_001.json
2026-04-27 11:01:35,20260427_110134_NEWS_SUMMARY_001,20260423_221008,,0,claude-haiku-4-5-20251001,NEWS_SUMMARY,,3821,166,0,3987,0.004651,1513,SUCCESS,,0,,,logs/llm/system/system_prompt_c474d8adfdd9.txt,logs/llm/prompts/20260427_110134_NEWS_SUMMARY_001.txt,logs/llm/responses/20260427_110134_NEWS_SUMMARY_001.json
2026-04-27 11:02:22,20260427_110142_MARKET_PULSE_001,20260423_221008,,0,claude-sonnet-4-6,MARKET_PULSE,,10972,2140,0,13112,0.083226,40290,SUCCESS,,0,"MAHABANK,PNBHOUSING,GOLDBEES,NESTLEIND,GRANULES,SUNPHARMA,TORNTPOWER,TATAPOWER,HINDZINC,INDUSINDBK,SAIL,ANANTRAJ,UTIAMC,NTPC,JSWSTEEL,ALKEM,IDFCFIRSTB,PVRINOX,PHARMABEES,POWERGRID,AXISBANK,HINDUNILVR,HSCL",,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_110142_MARKET_PULSE_001.txt,logs/llm/responses/20260427_110142_MARKET_PULSE_001.json
2026-04-27 11:10:05,20260427_110853_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,35900,5338,0,41238,0.355187,72019,SUCCESS,,22,,MODIFY MAHABANK; MODIFY PNBHOUSING; HOLD GOLDBEES; MODIFY NESTLEIND; MODIFY GRANULES; HOLD HINDUNILVR; MODIFY NTPC; HOLD INDUSINDBK; SELL TATAPOWER; NO_ACTION HINDZINC; NO_ACTION SUNPHARMA; NO_ACTION TORNTPOWER; NO_ACTION ANANTRAJ; NO_ACTION UTIAMC; NO_ACTION SAIL; NO_ACTION POWERGRID; NO_ACTION AXISBANK; NO_ACTION PHARMABEES; NO_ACTION IDFCFIRSTB; NO_ACTION HSCL; NO_ACTION PVRINOX; NO_ACTION ALKEM,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_110853_TRADING_DECISION_001.txt,logs/llm/responses/20260427_110853_TRADING_DECISION_001.json
2026-04-27 11:11:35,20260427_111036_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,36393,3967,6758,40360,0.284519,59686,SUCCESS,,11,,MODIFY PNBHOUSING; HOLD MAHABANK; MODIFY NTPC; HOLD GRANULES; HOLD INDUSINDBK; HOLD NESTLEIND; HOLD HINDUNILVR; HOLD GOLDBEES; BUY POWERGRID; CANCEL TATAPOWER; NO_ACTION HINDZINC,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_111036_TRADING_DECISION_001.txt,logs/llm/responses/20260427_111036_TRADING_DECISION_001.json
2026-04-27 11:12:38,20260427_111149_TRADING_DECISION_001,20260423_221008,,0,claude-opus-4-7,TRADING_DECISION,,23642,3115,6758,26757,0.199464,48359,SUCCESS,,8,,MODIFY PNBHOUSING; MODIFY NTPC; HOLD MAHABANK; HOLD GOLDBEES; MODIFY NESTLEIND; HOLD GRANULES; HOLD HINDUNILVR; HOLD INDUSINDBK,logs/llm/system/system_prompt_5605117bce0a.txt,logs/llm/prompts/20260427_111149_TRADING_DECISION_001.txt,logs/llm/responses/20260427_111149_TRADING_DECISION_001.json
2026-04-27 11:31:32,20260427_113130_NEWS_SUMMARY_001,20260423_221008,,0,claude-haiku-4-5-20251001,NEWS_SUMMARY,,3894,178,0,4072,0.004784,2160,SUCCESS,,0,,,logs/llm/system/system_prompt_c474d8adfdd9.txt,logs/llm/prompts/20260427_113130_NEWS_SUMMARY_001.txt,logs/llm/responses/20260427_113130_NEWS_SUMMARY_001.json
